Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
25.566755,Wed 05/29/19 05:47:57.622 PM,0,18.119499,16.90625,3.158223,2.382812,0.091008,82,82,49.167969,39.3125
25.511702,Wed 05/29/19 05:47:58.622 PM,0,18.12114,16.85062,3.03063,2.289062,0.091108,82,82,49.121094,39.285156
25.478823,Wed 05/29/19 05:47:59.622 PM,0,18.102551,16.830374,3.107509,2.359375,0.092662,82,82,49.070312,39.285156
25.471483,Wed 05/29/19 05:48:00.622 PM,0,18.123329,16.832813,3.053954,2.296875,0.094809,82,82,49.015625,39.238281
25.445961,Wed 05/29/19 05:48:01.622 PM,0,18.377007,16.8288,3.764384,2.914062,0.091674,82,82,48.972656,39.238281
25.445791,Wed 05/29/19 05:48:02.622 PM,0,18.057241,16.809076,12.406989,10.867188,0.096326,82,82,51.84375,39.265625
25.482664,Wed 05/29/19 05:48:03.622 PM,0,18.036161,16.84857,42.127731,36.632812,0.106793,82,82,57.914062,39.257812
25.534046,Wed 05/29/19 05:48:04.622 PM,0,18.103188,16.749794,52.641861,46.71875,0.108567,82,82,63.347656,39.230469
25.607586,Wed 05/29/19 05:48:05.622 PM,0,18.193396,16.908632,48.883911,42.78125,0.111338,82,82,66.15625,39.230469
25.65897,Wed 05/29/19 05:48:06.622 PM,0,18.284414,16.83053,24.356293,20.34375,0.10084,82,82,65.707031,39.242188
25.703012,Wed 05/29/19 05:48:07.623 PM,0,18.242811,16.696039,8.511494,6.726562,0.097081,82,82,65.023438,39.25
25.816788,Wed 05/29/19 05:48:08.622 PM,0,18.173189,16.867912,15.565233,12.921875,0.103982,82,82,64.566406,39.25
25.765408,Wed 05/29/19 05:48:09.622 PM,0,18.125429,16.772816,17.055988,12.898438,0.115864,82,82,64.054688,39.25
25.736197,Wed 05/29/19 05:48:10.622 PM,0,18.127983,16.870756,15.512442,13.328125,0.092972,82,82,63.699219,39.25
25.681143,Wed 05/29/19 05:48:11.622 PM,1,18.220284,16.908791,29.985113,25.59375,0.098321,82,82,63.492188,39.238281
25.61158,Wed 05/29/19 05:48:12.622 PM,1,18.149002,16.755175,29.739502,25.273438,0.099881,82,82,64.75,39.25
25.530834,Wed 05/29/19 05:48:13.622 PM,1,18.126066,16.911095,30.861027,26.578125,0.096709,82,82,66.335938,39.25
